created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Apr 30 11:56:05 +0000 2023;1652642977892925443;"Lecture Theater, Gedung D, UMN Kamu bisa ikut acara ini hanya dengan membayar: 5K (UMN Student) 10K (Eksternal) Dengan mengikuti acara spesial ini kamu juga bisa mendapatkan: + 1 SKKM Ilmiah dan Penalaran (for UMN Student) + Free drink from Menantea";0;1;0;0;in;74664107;1652642968355098629;BVOICE_RADIO;https://twitter.com/BVOICE_RADIO/status/1652642977892925443
Sat Apr 29 14:02:08 +0000 2023;1652312312970346496;"@kaniaauliaw iyah menantea mahal :(";0;0;0;0;in;1261120185487855616;1652163407020457989;fluttershy99__;https://twitter.com/fluttershy99__/status/1652312312970346496
Sat Apr 29 09:53:56 +0000 2023;1652249850925445120;"Kamu bisa ikut acara ini hanya dengan membayar: 🎟 5K (UMN Student) 10K (Eksternal) Dengan mengikuti acara spesial ini kamu juga bisa mendapatkan: 🎁 + 1 SKKM Ilmiah dan Penalaran (for UMN Student) 🎁 + Free drink from Menantea";0;1;0;0;in;351444182;1652249843178557442;UMNRADIO;https://twitter.com/UMNRADIO/status/1652249850925445120
Sat Apr 29 07:19:48 +0000 2023;1652211062845083648;"Lecture Theater, Gedung D, UMN Kamu bisa ikut acara ini hanya dengan membayar: 5K (UMN Student) 10K (Eksternal) Dengan mengikuti acara spesial ini kamu juga bisa mendapatkan: + 1 SKKM Ilmiah dan Penalaran (for UMN Student) + Free drink from Menantea";0;1;0;0;in;74664107;1652211054913675264;BVOICE_RADIO;https://twitter.com/BVOICE_RADIO/status/1652211062845083648
Sat Apr 29 01:55:30 +0000 2023;1652129449926885376;"bm banget beli menantea, tapi knp yh di toko terdekat gak bisa pake promo (?) alias katanya disana tidak ada promo @tokomenantea";0;0;0;0;in;1391772779402338309;1652129449926885376;deenuzah;https://twitter.com/deenuzah/status/1652129449926885376
Fri Apr 28 12:17:16 +0000 2023;1651923532790788096;"Lelah memohon dan menantea.";1;0;3;0;in;1095542795241107457;1651923480336809984;enderjvs;https://twitter.com/enderjvs/status/1651923532790788096
Fri Apr 28 04:51:13 +0000 2023;1651811284139261953;"Lecture Theater, Gedung D, UMN Kamu bisa ikut acara ini hanya dengan membayar: 5K (UMN Student) 10K (Eksternal) Dengan mengikuti acara spesial ini kamu juga bisa mendapatkan: + 1 SKKM Ilmiah dan Penalaran (for UMN Student) + Free drink from Menantea";0;1;0;0;in;74664107;1651811276308500485;BVOICE_RADIO;https://twitter.com/BVOICE_RADIO/status/1651811284139261953
Fri Apr 28 04:49:18 +0000 2023;1651810801001586688;"Lecture Theater, Gedung D, UMN Kamu bisa ikut acara ini hanya dengan membayar: 5K (UMN Student) 10K (Eksternal) Dengan mengikuti acara spesial ini kamu juga bisa mendapatkan: + 1 SKKM Ilmiah dan Penalaran (for UMN Student) + Free drink from Menantea";0;1;0;0;in;74664107;1651810793221132288;BVOICE_RADIO;https://twitter.com/BVOICE_RADIO/status/1651810801001586688
Fri Apr 28 04:47:04 +0000 2023;1651810237371006976;"Lecture Theater, Gedung D, UMN Kamu bisa ikut acara ini hanya dengan membayar: 5K (UMN Student) 10K (Eksternal) Dengan mengikuti acara spesial ini kamu juga bisa mendapatkan: + 1 SKKM Ilmiah dan Penalaran (for UMN Student) + Free drink from Menantea";0;1;0;0;in;74664107;1651810229800308737;BVOICE_RADIO;https://twitter.com/BVOICE_RADIO/status/1651810237371006976
Fri Apr 28 04:44:24 +0000 2023;1651809567406428160;"Lecture Theater, Gedung D, UMN Kamu bisa ikut acara ini hanya dengan membayar: 5K (UMN Student) 10K (Eksternal) Dengan mengikuti acara spesial ini kamu juga bisa mendapatkan: + 1 SKKM Ilmiah dan Penalaran (for UMN Student) + Free drink from Menantea";0;1;0;0;in;74664107;1651809559902818304;BVOICE_RADIO;https://twitter.com/BVOICE_RADIO/status/1651809567406428160
Fri Apr 28 03:43:35 +0000 2023;1651794260159496198;"Loker jaga outlet menantea di Tangerang https://t.co/Htpmv4ypbI";0;0;0;0;in;576217043;1651794260159496198;sbyjob;https://twitter.com/sbyjob/status/1651794260159496198
Thu Apr 27 14:51:38 +0000 2023;1651599993311215619;"Kesampe'an juga mampir ke sini @MenanTea https://t.co/tQUxgTRjv8";0;0;0;0;in;37886957;1651599993311215619;andri5150;https://twitter.com/andri5150/status/1651599993311215619
Thu Apr 27 14:48:41 +0000 2023;1651599251628244992;"@jwiseoOng udah bosen ama mcd, pengen coba menantea kiw @tokomenantea";0;1;0;0;in;1394554226060140544;1651586509890531329;onelugm;https://twitter.com/onelugm/status/1651599251628244992
Thu Apr 27 14:12:45 +0000 2023;1651590210520764417;"@jwiseoOng menantea yg apaa";0;1;0;0;in;1452512846596632579;1651586509890531329;halowaca;https://twitter.com/halowaca/status/1651590210520764417
Thu Apr 27 14:02:21 +0000 2023;1651587591463124993;"@khaiianakbaik masalahnya aku dari kemarin bm menantea hngg 🥺";0;0;0;0;in;1410561205228380161;1651583888601546752;jwiseoOng;https://twitter.com/jwiseoOng/status/1651587591463124993
